,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
48,provideniya,RU,273.96,snow,64.3833,-173.3,Bredasdorp Country Manor
50,valparaiso,CL,285.95,scattered clouds,-33.0393,-71.6273,Hotel Ultramar
51,mar del plata,AR,290.16,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
52,antalaha,MG,297.92,light rain,-14.9003,50.2788,Hotel Vitasoa
54,bluff,NZ,288.04,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
55,esperance,AU,291.94,scattered clouds,-33.8667,121.9,Hospitality Esperance
56,rikitea,PF,296.58,moderate rain,-23.1203,-134.9692,People ThankYou
58,bredasdorp,ZA,289.98,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
61,tuatapere,NZ,286.38,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
66,margate,GB,282.54,light rain,51.3813,1.3862,Premier Inn Margate hotel
68,goure,NE,291.71,clear sky,13.9835,10.2704,Bredasdorp Country Manor
69,puerto ayora,EC,292.9,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
70,kloulklubed,PW,297.43,light rain,7.0419,134.2556,Storyboard Beach Resort
71,wad rawah,SD,297.38,few clouds,15.1603,33.1397,حوش جلي ودراوة
74,faya,SA,293.21,clear sky,18.3851,42.4509,شيلة نسايم
76,new norfolk,AU,288.66,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
77,cachoeira do sul,BR,288.9,clear sky,-30.0392,-52.8939,Rede Bonnel Tropical Hotel Confort
78,sidi ali,DZ,290.84,overcast clouds,36.0998,0.4206,Khaled
80,sechura,PE,291.47,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
81,santa fe,AR,296.47,light rain,-31.6333,-60.7,Conquistador Hotel
84,ribeira grande,PT,289.14,broken clouds,38.5167,-28.7,Quinta da Meia Eira
87,constitucion,CL,286.89,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
88,mubi,NG,294.28,overcast clouds,10.2676,13.2644,LASVEGAS BAR AND MOTEL
89,rio gallegos,AR,285.18,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
90,ponta delgada,PT,289.55,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
91,scottsbluff,US,274.28,overcast clouds,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
92,kapaa,US,297.33,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
93,huarmey,PE,290.8,overcast clouds,-10.0681,-78.1522,Hotel Miramar
94,carnarvon,AU,293.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
95,tricase,IT,290.11,scattered clouds,39.9304,18.3553,Hotel Adriatico
96,havoysund,NO,279.28,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
97,padang,ID,297.18,moderate rain,-0.9492,100.3543,Mercure Padang
98,cidreira,BR,290.75,clear sky,-30.1811,-50.2056,Hotel Castelo
99,bichura,RU,274.09,few clouds,50.5881,107.6022,Gostinitsa Uyut
101,ucluelet,CA,280.65,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
103,cape town,ZA,292.65,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
105,placido de castro,BR,295.17,overcast clouds,-10.3353,-67.1856,Hotel Carioca
106,honningsvag,NO,279.01,broken clouds,70.9821,25.9704,Nordkapp Vandrerhjem
107,kijang,KR,291.0,clear sky,35.2442,129.2139,Samyang Beach Villa
109,kamaishi,JP,281.69,few clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
111,santa cruz,BO,294.85,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
112,hasaki,JP,289.42,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
114,jesup,US,282.78,clear sky,31.6074,-81.8854,Western Motel
115,rocha,UY,288.06,broken clouds,-34.4833,-54.3333,Hotel Arrarte
116,kushikino,JP,290.42,overcast clouds,31.7167,130.2667,Tajiri Inn
120,lazaro cardenas,MX,297.06,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
122,torbay,CA,275.79,overcast clouds,47.6666,-52.7314,Gallows Cove
123,taltal,CL,288.98,broken clouds,-25.4,-70.4833,Residencial Karime
125,koutsouras,GR,290.99,clear sky,35.0339,25.9469,The White Houses
