,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
449,komsomolskiy,UZ,279.55,few clouds,40.4272,71.7189,Ikathouse
450,taoudenni,ML,293.6,clear sky,22.6783,-3.9836,Bredasdorp Country Manor
452,kumluca,TR,291.06,clear sky,36.3703,30.2869,Akkol Apart
453,santa maria da vitoria,BR,293.45,overcast clouds,-13.3947,-44.1886,Pousada Rio Current
455,colinas,BR,294.96,clear sky,-6.0258,-44.2492,Pousada do Nonatinho
457,camacha,PT,291.83,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
459,hofn,IS,281.36,overcast clouds,64.2539,-15.2082,Hótel Höfn
460,zhangye,CN,280.37,few clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
461,ariquemes,BR,294.9,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
463,broken hill,AU,293.43,clear sky,-31.95,141.4333,Royal Exchange Hotel
464,borehamwood,GB,282.24,moderate rain,51.6547,-0.2776,Village Hotel Watford
466,bilma,NE,292.68,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
467,muros,ES,288.2,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
468,el estor,GT,294.61,light rain,15.5333,-89.35,Chalet Castillo
469,vao,NC,297.79,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
470,coihaique,CL,283.12,light rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
473,launceston,AU,290.95,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
474,dafeng,CN,295.36,overcast clouds,23.4517,108.5881,Shenglong Hotel
476,soyo,AO,297.83,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
477,harlingen,US,282.56,overcast clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
479,conselheiro lafaiete,BR,286.53,broken clouds,-20.6603,-43.7861,Hotel Meri
480,visby,SE,277.07,broken clouds,57.6409,18.296,Best Western Solhem Hotel Visby
483,kigoma,TZ,297.48,broken clouds,-4.8769,29.6267,MJI Mwema Lodge
485,sfantu gheorghe,RO,282.74,light rain,45.8667,25.7833,Hotel Park
486,miranda,CO,292.22,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
487,humaita,BR,295.84,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
488,port-gentil,GA,297.29,heavy intensity rain,-0.7193,8.7815,Fengshui Residence
491,beisfjord,NO,273.73,broken clouds,68.3751,17.5988,Bredasdorp Country Manor
492,bethel,US,276.32,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
497,mehamn,NO,280.1,light intensity drizzle,71.0357,27.8492,Mehamn Arctic Hotel AS
499,vila,PT,281.64,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
500,constantine,DZ,286.82,broken clouds,36.365,6.6147,Grand Hotel Cirta
503,cascais,PT,292.56,overcast clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
504,nador,MA,293.29,broken clouds,35.174,-2.9287,Hôtel La Giralda
506,djambala,CG,292.26,light rain,-2.5447,14.7533,Hotel Ravin D'or
507,kuryk,KZ,282.66,overcast clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
508,grojec,PL,275.57,few clouds,51.8625,20.8676,Guest Rooms ZACISZE
509,elos,GR,291.06,scattered clouds,36.8327,22.6983,Ξενοδοχείο Όαση/ Oasis Hotel
510,talara,PE,292.56,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
512,navoi,UZ,281.86,smoke,40.0844,65.3792,Silk Road Hotel Termez
513,southbridge,US,275.44,few clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
519,agadez,NE,289.76,broken clouds,19.75,10.25,Bredasdorp Country Manor
522,wanaka,NZ,287.98,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
524,maues,BR,297.18,overcast clouds,-3.3836,-57.7186,Hotel Miramar
528,palaikastron,GR,292.82,clear sky,35.2,26.25,Marina Village
530,port macquarie,AU,291.98,clear sky,-31.4333,152.9167,Rydges Port Macquarie
531,chornukhy,UA,273.31,overcast clouds,50.2673,32.942,Bredasdorp Country Manor
534,taft,IR,291.12,broken clouds,31.7471,54.2088,عمارت ساعتی تفت
535,nome,US,273.19,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
537,remiremont,FR,283.25,overcast clouds,48.0175,6.5882,ibis budget Remiremont
539,khorramshahr,IR,294.13,overcast clouds,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
540,katsina,NG,293.7,clear sky,12.9894,7.6006,Katsina Motel
541,mityana,UG,295.38,light rain,0.4175,32.0228,Green Valley Hotel
547,holoby,UA,273.18,overcast clouds,51.0865,25.0077,Bredasdorp Country Manor
548,jose bonifacio,BR,294.74,clear sky,-21.0528,-49.6883,HOTEL DOS VIAJANTES
550,makakilo city,US,297.33,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
551,ahuimanu,US,297.99,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
552,sinnamary,GF,297.95,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
553,coria,ES,288.96,overcast clouds,39.9879,-6.5377,Hotel San Cristóbal
